u1217628182611927040,14,6,10,3
u1089159225148882949,10,1,16,1
u1679822588,6,7,15,4
u1519144464,16,7,1,2
u15211869,1,2,2,2
u1109809482656149504,6,6,1,4
u138814032,0,7,0,0
u457554412,3,0,9,7
u2465283662,14,0,3,0
u234059290,10,2,5,0
u1142890104853106688,2,4,2,4
u284870222,10,7,2,7
u912974971370115072,12,7,0,0
u83389771,7,0,3,0
u765845,1,0,1,7
u935031277,14,1,14,2
u14788268,16,8,16,8
u2496941382,7,0,2,7
u29458079,11,0,11,0
u3304925983,13,0,13,7
u229389391,1,7,3,6
u871016931213619200,10,7,10,2
u49009937,10,2,10,0
u1360303708777635844,10,7,5,5
u196278935,16,8,2,7
u731478516181565440,12,0,0,0
u1009495181882773506,2,0,12,0
u73710441,7,0,7,0
u542721191,0,0,11,0
u820367095120547841,14,4,2,4
u1074322006445883392,16,0,1,0
u73125667,2,0,1,0
u374208504,10,0,2,0
u1031077915188846594,7,0,7,0
u224965117,16,4,7,5
u35708687,14,4,2,4
u20813318,2,4,2,4
u1320503149816328192,10,2,10,3
u1192861100804575234,16,0,1,2
u1353063402160099335,10,2,10,0
u15918780,10,7,7,0
u256644046,2,0,14,8
u1116393937449697280,16,2,2,2
u22396466,0,0,7,0
u17393790,2,0,2,0
u2939998182,16,8,1,7
u3082871337,14,0,1,7
u2502990367,14,7,7,0
u162535413,2,0,12,6
u368644797,14,7,12,4
u13678962,10,7,10,3
u4939401,1,0,10,2
u1369074723896786948,1,7,7,0
u945957031323639808,9,0,5,0
u2244134066,16,2,4,0
u18890724,16,8,15,3
u118009649,7,0,2,4
u242490547,1,7,2,7
u788533935886077952,0,0,14,7
u757327643826094080,2,4,2,7
u9604032,3,0,5,0
u887464432430850048,7,0,10,3
u16834046,10,3,2,4
u1231288602912489472,15,0,12,6
u1536500138,16,4,2,4
u2577886615,1,7,10,7
u1425141260256301059,14,2,10,3
u86091264,12,7,2,4
u38669987,10,2,10,7
u92922681,3,0,3,0
u1285628066346274817,14,7,14,8
u1189972333772955650,3,5,3,5
u781673283829788672,10,3,10,7
u2182641,0,0,10,7
u1231601392139329536,1,0,1,6
u114820052,16,4,16,7
u2999992556,2,0,14,2
u50343115,14,0,14,4
u3054361064,14,0,10,4
u158065720,16,0,2,7
u43194755,16,0,12,4
u1372879289050308610,1,7,1,6
u285685293,10,2,14,2
u370112958,8,0,7,0
u2427885031,16,7,13,0
u1226185906652155906,16,7,2,0
u18898143,2,4,6,0
u400630125,10,2,13,0
u1015681547415031808,2,7,12,0
u57398614,10,2,1,7
u781982295863484456,10,1,10,2
u927837253,16,4,2,7
u1356705529528283136,13,4,7,0
u124745749,12,1,12,0
u1044979644183838720,2,0,2,0
u59001491,13,7,3,0
u180038665,2,7,7,0
u15143478,10,2,2,7
u25427470,16,2,10,3
u913302048564637696,16,7,16,4
u48979419,16,7,1,0
u23886144,2,7,3,0
u2457027740,2,8,5,0
u22385548,2,0,2,7
u1273759306039558145,2,0,2,7
u21846833,8,1,8,1
u582280139,16,7,7,7
u1584137959,0,0,12,8
u1338939176356556800,10,3,10,3
u69253605,16,1,4,0
u156611885,12,7,15,0
u15231287,1,7,1,4
u2654306088,0,0,10,4
u80179442,14,8,7,8
u1271447460,7,0,7,0
u767892066,2,4,0,3
u1397114203601657857,16,7,16,4
u88403351,0,0,2,3
u985020698,2,4,2,4
u109589477,10,1,10,1
u15255245,2,2,1,7
u111724165,0,0,0,0
u546427546,14,8,2,1
u53017384,10,2,10,3
u54034504,16,8,10,3
u1448037218174443523,1,0,10,7
u178734121,2,4,10,3
u1371838131981447169,12,0,2,4
u2509381254,12,4,5,7
u1145412069866364928,0,0,0,7
u14986849,14,0,10,2
u36258301,2,4,10,3
u209472553,10,2,10,0
u18759465,10,1,10,2
u613173206,2,7,8,1
u107196001,16,8,0,0
u1051795722,10,2,10,7
u175743717,9,0,9,1
u161913667,1,4,2,7
